State,Declarations,Mean Latency,IA Rate,PA Rate,SVI,Alpha (λ=1.0),Alpha (λ=0.5),Alpha (λ=1.5),IA_unweighted,IA_weighted,Allocation_uplift_%
MS,939,30.2,39.2,89.7,0.74,1.24,1.12,1.36,450.0,558.0,24.0
WV,625,30.7,43.0,91.7,0.72,1.22,1.11,1.33,450.0,549.0,22.0
LA,991,17.1,42.6,96.7,0.7,1.2,1.1,1.3,450.0,540.0,20.0
KY,1606,38.0,32.9,91.0,0.66,1.16,1.08,1.24,450.0,522.0,16.0
AL,630,22.7,51.0,86.0,0.65,1.15,1.075,1.225,450.0,517.5,15.0
AR,808,33.7,35.4,95.0,0.63,1.13,1.065,1.195,450.0,508.5,13.0
NM,215,51.9,39.1,90.2,0.61,1.11,1.055,1.165,450.0,499.5,11.0
TN,898,36.7,39.1,95.2,0.6,1.1,1.05,1.15,450.0,495.0,10.0
SC,433,29.8,39.7,92.6,0.58,1.08,1.04,1.12,450.0,486.0,8.0
OK,1329,33.6,29.2,94.9,0.57,1.07,1.035,1.105,450.0,481.5,7.0
GA,1034,25.0,38.7,98.1,0.55,1.05,1.025,1.075,450.0,472.5,5.0
AK,203,65.2,54.7,100.0,0.55,1.05,1.025,1.075,450.0,472.5,5.0
MO,1434,38.3,37.5,88.1,0.54,1.04,1.02,1.06,450.0,468.0,4.0
NC,635,22.6,64.7,90.4,0.53,1.03,1.015,1.045,450.0,463.5,3.0
AZ,112,57.6,34.8,93.8,0.53,1.03,1.015,1.045,450.0,463.5,3.0
TX,2074,27.8,39.6,95.9,0.52,1.02,1.01,1.03,450.0,459.0,2.0
FL,1120,16.7,50.6,92.6,0.51,1.01,1.005,1.015,450.0,454.5,1.0
MI,176,56.1,75.6,80.1,0.5,1.0,1.0,1.0,450.0,450.0,0.0
NV,78,61.4,57.7,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
SD,775,60.2,35.2,83.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
VI,28,31.0,28.6,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
PR,606,19.6,69.8,92.1,0.5,1.0,1.0,1.0,450.0,450.0,0.0
MP,31,26.9,54.8,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
GU,10,31.8,30.0,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
AS,31,29.6,67.7,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
IN,636,32.3,72.6,67.1,0.5,1.0,1.0,1.0,450.0,450.0,0.0
FM,6,17.7,16.7,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
DC,12,42.4,16.7,100.0,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
OH,523,40.4,49.7,71.1,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
CA,483,45.6,37.1,95.2,0.48,0.98,0.99,0.97,450.0,441.0,-2.0
ND,598,60.4,18.9,97.7,0.47,0.97,0.985,0.955,450.0,436.5,-3.0
IL,485,41.0,50.3,80.8,0.46,0.96,0.98,0.94,450.0,432.0,-4.0
MT,279,57.8,36.9,79.9,0.46,0.96,0.98,0.94,450.0,432.0,-4.0
KS,1013,52.9,18.1,98.3,0.45,0.95,0.975,0.925,450.0,427.5,-5.0
ME,581,68.0,80.0,99.0,0.45,0.95,0.975,0.925,450.0,427.5,-5.0
HI,39,39.9,33.3,97.4,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
NY,606,37.7,35.3,89.1,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
WY,59,67.2,45.8,98.3,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
PA,417,30.4,55.4,75.5,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
NE,928,46.2,20.5,98.2,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
ID,124,65.2,39.5,83.1,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
IA,992,32.1,36.8,95.1,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
OR,196,52.6,26.5,94.4,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
DE,21,39.1,33.3,100.0,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
VA,969,39.8,32.6,95.0,0.41,0.91,0.955,0.865,450.0,409.5,-9.0
UT,45,70.4,80.0,100.0,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
WI,370,43.2,49.5,84.6,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
WA,321,52.5,31.2,85.0,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
MD,182,44.2,26.9,99.5,0.39,0.89,0.945,0.835,450.0,400.5,-11.0
CO,195,55.4,43.1,68.2,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
MN,626,48.4,24.9,98.4,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
RI,37,41.0,43.2,94.6,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
VT,213,45.7,25.4,100.0,0.37,0.87,0.935,0.805,450.0,391.5,-13.0
NJ,219,27.3,55.7,94.1,0.36,0.86,0.93,0.79,450.0,387.0,-14.0
CT,85,40.6,52.9,87.1,0.33,0.83,0.915,0.745,450.0,373.5,-17.0
MA,124,46.8,33.9,81.5,0.31,0.81,0.905,0.715,450.0,364.5,-19.0
NH,129,41.2,23.3,99.2,0.3,0.8,0.9,0.7,450.0,360.0,-20.0
