State,Declarations,Mean Latency (days),IA Rate (%),PA Rate (%),State Name,Rank,Cluster
TX,2074,27.8,39.6,95.9,Texas,1,Gulf Coast
KY,1606,38.0,32.9,91.0,Kentucky,2,Appalachian
MO,1434,38.3,37.5,88.1,Missouri,3,Other
OK,1329,33.6,29.2,94.9,Oklahoma,4,Other
FL,1120,16.7,50.6,92.6,Florida,5,Gulf Coast
GA,1034,25.0,38.7,98.1,Georgia,6,Other
KS,1013,52.9,18.1,98.3,Kansas,7,Other
IA,992,32.1,36.8,95.1,Iowa,8,Other
LA,991,17.1,42.6,96.7,Louisiana,9,Gulf Coast
VA,969,39.8,32.6,95.0,Virginia,10,Appalachian
MS,939,30.2,39.2,89.7,Mississippi,11,Gulf Coast
NE,928,46.2,20.5,98.2,Nebraska,12,Other
TN,898,36.7,39.1,95.2,Tennessee,13,Appalachian
AR,808,33.7,35.4,95.0,Arkansas,14,High SVI
SD,775,60.2,35.2,83.0,South Dakota,15,Other
IN,636,32.3,72.6,67.1,Indiana,16,Other
NC,635,22.6,64.7,90.4,North Carolina,17,Appalachian
AL,630,22.7,51.0,86.0,Alabama,18,Gulf Coast
MN,626,48.4,24.9,98.4,Minnesota,19,Other
WV,625,30.7,43.0,91.7,West Virginia,20,Appalachian
PR,606,19.6,69.8,92.1,PR,21,Other
NY,606,37.7,35.3,89.1,New York,22,Other
ND,598,60.4,18.9,97.7,North Dakota,23,Other
ME,581,68.0,80.0,99.0,Maine,24,Other
OH,523,40.4,49.7,71.1,Ohio,25,Other
IL,485,41.0,50.3,80.8,Illinois,26,Other
CA,483,45.6,37.1,95.2,California,27,Other
SC,433,29.8,39.7,92.6,South Carolina,28,Other
PA,417,30.4,55.4,75.5,Pennsylvania,29,Other
WI,370,43.2,49.5,84.6,Wisconsin,30,Other
WA,321,52.5,31.2,85.0,Washington,31,Other
MT,279,57.8,36.9,79.9,Montana,32,Other
NJ,219,27.3,55.7,94.1,New Jersey,33,Other
NM,215,51.9,39.1,90.2,New Mexico,34,High SVI
VT,213,45.7,25.4,100.0,Vermont,35,Other
AK,203,65.2,54.7,100.0,Alaska,36,High SVI
OR,196,52.6,26.5,94.4,Oregon,37,Other
CO,195,55.4,43.1,68.2,Colorado,38,Other
MD,182,44.2,26.9,99.5,Maryland,39,Other
MI,176,56.1,75.6,80.1,Michigan,40,Other
NH,129,41.2,23.3,99.2,New Hampshire,41,Other
MA,124,46.8,33.9,81.5,Massachusetts,42,Other
ID,124,65.2,39.5,83.1,Idaho,43,Other
AZ,112,57.6,34.8,93.8,Arizona,44,Other
CT,85,40.6,52.9,87.1,Connecticut,45,Other
NV,78,61.4,57.7,100.0,Nevada,46,Other
WY,59,67.2,45.8,98.3,Wyoming,47,Other
UT,45,70.4,80.0,100.0,Utah,48,Other
HI,39,39.9,33.3,97.4,Hawaii,49,Other
RI,37,41.0,43.2,94.6,Rhode Island,50,Other
AS,31,29.6,67.7,100.0,AS,51,Other
MP,31,26.9,54.8,100.0,MP,52,Other
VI,28,31.0,28.6,100.0,VI,53,Other
DE,21,39.1,33.3,100.0,Delaware,54,Other
DC,12,42.4,16.7,100.0,District of Columbia,55,Other
GU,10,31.8,30.0,100.0,GU,56,Other
FM,6,17.7,16.7,100.0,FM,57,Other
